"method","dataset","session","condition","alpha1_strength","events","K","M","T","empirical_nu_base","mean_events_per_actor_mark_per_sec","ring_size","hub_actor","true_ring","n_injected_events","hawkes_sampler_used","seed","heldout_frac","heldout_split_t","train_events","test_events","heldout_loglik","heldout_nll_per_event","heldout_metric_type","field_auc","precision","recall","f1","hub_correct","loglik_final","active_mean","b2_lambda0","b2_lambda1","b2_p00","b2_p11"
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.98622666666654","5581","1472","-369.0950978639168","0.25074395235320435","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1626.0772685101774","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.98622666666654","5581","1472","-108.8935124971841","0.07397657098993485","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6572032618544247","94.58333333333333","181.33333333333334","0.8108108108108109","0.42857142857142855"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.98622666666654","5581","1472","-915.8204864304955","0.6221606565424562","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.98622666666654","5581","1472","-358.1858889211622","0.24333280497361562","latent_ctmc_marginal_interval_loglik","","","","","","-1587.9422968676558","0.5678798687912183",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.98622666666654","5581","1472","-365.98847703525394","0.24863347624677576","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1636.4196785075171","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.98622666666654","5581","1472","-108.8935124971841","0.07397657098993485","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6572032618544247","94.58333333333333","181.33333333333334","0.8108108108108109","0.42857142857142855"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.98622666666654","5581","1472","-915.8204864304955","0.6221606565424562","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.98622666666654","5581","1472","-356.80714701306977","0.24239615965561806","latent_ctmc_marginal_interval_loglik","","","","","","-1590.17822600685","0.5670089880381942",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","3","0.2","95.98622666666654","5581","1472","-375.3993381657941","0.25502672429741446","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1626.625581632032","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","3","0.2","95.98622666666654","5581","1472","-108.8935124971841","0.07397657098993485","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6572032618544247","94.58333333333333","181.33333333333334","0.8108108108108109","0.42857142857142855"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","3","0.2","95.98622666666654","5581","1472","-915.8204864304955","0.6221606565424562","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","3","0.2","95.98622666666654","5581","1472","-357.8228408010736","0.24308616902246846","latent_ctmc_marginal_interval_loglik","","","","","","-1587.7869642841101","0.5650593057014249",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","4","0.2","95.98622666666654","5581","1472","-369.46136512810716","0.25099277522289887","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1637.404783127704","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","4","0.2","95.98622666666654","5581","1472","-108.8935124971841","0.07397657098993485","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6572032618544247","94.58333333333333","181.33333333333334","0.8108108108108109","0.42857142857142855"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","4","0.2","95.98622666666654","5581","1472","-915.8204864304955","0.6221606565424562","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","4","0.2","95.98622666666654","5581","1472","-356.2333621174152","0.24200636013411359","latent_ctmc_marginal_interval_loglik","","","","","","-1590.2656849461503","0.5540502398281015",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","5","0.2","95.98622666666654","5581","1472","-373.5441979335186","0.25376643881353167","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1632.0658998087602","","","","",""
